,links,attribute,faculty,program
0,https://www.uwo.ca/ipb/databook/02/auartb02.html,Faculty Complement,ARTS and HUMANITIES,ARTS and HUMANITIES
1,https://www.uwo.ca/ipb/databook/02/clsttb02.html,Faculty Complement,ARTS and HUMANITIES,CLASSICAL STUDIES
2,https://www.uwo.ca/ipb/databook/02/engltb02.html,Faculty Complement,ARTS and HUMANITIES,ENGLISH and WRITING STUDIES
3,https://www.uwo.ca/ipb/databook/02/filmtb02.html,Faculty Complement,ARTS and HUMANITIES,FILM STUDIES
4,https://www.uwo.ca/ipb/databook/02/frentb02.html,Faculty Complement,ARTS and HUMANITIES,FRENCH STUDIES
5,https://www.uwo.ca/ipb/databook/02/ws__tb02.html,Faculty Complement,ARTS and HUMANITIES,"GENDER, SEXUALITY, and WOMEN'S STUDIES"
6,https://www.uwo.ca/ipb/databook/02/mll_tb02.html,Faculty Complement,ARTS and HUMANITIES,LANGUAGES and CULTURES
7,https://www.uwo.ca/ipb/databook/02/philtb02.html,Faculty Complement,ARTS and HUMANITIES,PHILOSOPHY
8,https://www.uwo.ca/ipb/databook/02/vsartb02.html,Faculty Complement,ARTS and HUMANITIES,VISUAL ARTS
9,https://www.uwo.ca/ipb/databook/02/aub_tb02.html,Faculty Complement,BUSINESS,BUSINESS
10,https://www.uwo.ca/ipb/databook/02/auedtb02.html,Faculty Complement,EDUCATION,EDUCATION
11,https://www.uwo.ca/ipb/databook/02/aue_tb02.html,Faculty Complement,ENGINEERING,ENGINEERING
12,https://www.uwo.ca/ipb/databook/02/cheetb02.html,Faculty Complement,ENGINEERING,CHEMICAL and BIOCHEMICAL ENGINEERING
13,https://www.uwo.ca/ipb/databook/02/civetb02.html,Faculty Complement,ENGINEERING,CIVIL and ENVIRONMENTAL ENGINEERING
14,https://www.uwo.ca/ipb/databook/02/eleetb02.html,Faculty Complement,ENGINEERING,ELECTRICAL and COMPUTER ENGINEERING
15,https://www.uwo.ca/ipb/databook/02/m_metb02.html,Faculty Complement,ENGINEERING,MECHANICAL and MATERIALS ENGINEERING
16,https://www.uwo.ca/ipb/databook/02/auhstb02.html,Faculty Complement,HEALTH SCIENCES,HEALTH SCIENCES
17,https://www.uwo.ca/ipb/databook/02/bhsctb02.html,Faculty Complement,HEALTH SCIENCES,HEALTH STUDIES
18,https://www.uwo.ca/ipb/databook/02/cd__tb02.html,Faculty Complement,HEALTH SCIENCES,COMMUNICATION SCIENCES and DISORDERS
19,https://www.uwo.ca/ipb/databook/02/kinetb02.html,Faculty Complement,HEALTH SCIENCES,KINESIOLOGY
20,https://www.uwo.ca/ipb/databook/02/nurstb02.html,Faculty Complement,HEALTH SCIENCES,NURSING
21,https://www.uwo.ca/ipb/databook/02/ot__tb02.html,Faculty Complement,HEALTH SCIENCES,OCCUPATIONAL THERAPY
22,https://www.uwo.ca/ipb/databook/02/pt__tb02.html,Faculty Complement,HEALTH SCIENCES,PHYSICAL THERAPY
23,https://www.uwo.ca/ipb/databook/02/auimtb02.html,Faculty Complement,INFORMATION and MEDIA STUDIES,INFORMATION and MEDIA STUDIES
24,https://www.uwo.ca/ipb/databook/02/aul_tb02.html,Faculty Complement,LAW,LAW
25,https://www.uwo.ca/ipb/databook/02/aum_tb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),MEDICINE and DENTISTRY (MEDICINE)
26,https://www.uwo.ca/ipb/databook/02/aud_tb02.html,Faculty Complement,MEDICINE and DENTISTRY (DENTISTRY),MEDICINE and DENTISTRY (DENTISTRY)
27,https://www.uwo.ca/ipb/databook/02/anattb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),ANATOMY and CELL BIOLOGY
28,https://www.uwo.ca/ipb/databook/02/bioctb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),BIOCHEMISTRY
29,https://www.uwo.ca/ipb/databook/02/epidtb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),EPIDEMIOLOGY and BIOSTATISTICS
30,https://www.uwo.ca/ipb/databook/02/hms_tb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),HISTORY OF MEDICINE
31,https://www.uwo.ca/ipb/databook/02/bioptb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),MEDICAL BIOPHYSICS
32,https://www.uwo.ca/ipb/databook/02/m_i_tb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),MICROBIOLOGY and IMMUNOLOGY
33,https://www.uwo.ca/ipb/databook/02/pathtb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),PATHOLOGY and LABORATORY MEDICINE
34,https://www.uwo.ca/ipb/databook/02/p_p_tb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),PHYSIOLOGY and PHARMACOLOGY
35,https://www.uwo.ca/ipb/databook/02/robatb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),ROBARTS RESEARCH INSTITUTE
36,https://www.uwo.ca/ipb/databook/02/imsatb02.html,Faculty Complement,MEDICINE and DENTISTRY (MEDICINE),INTERDISCIPLINARY MEDICAL SCIENCES
37,https://www.uwo.ca/ipb/databook/02/aumutb02.html,Faculty Complement,MUSIC,MUSIC
38,https://www.uwo.ca/ipb/databook/02/aus_tb02.html,Faculty Complement,SCIENCE,SCIENCE
39,https://www.uwo.ca/ipb/databook/02/appmtb02.html,Faculty Complement,SCIENCE,APPLIED MATHEMATICS
40,https://www.uwo.ca/ipb/databook/02/bioltb02.html,Faculty Complement,SCIENCE,BIOLOGY
41,https://www.uwo.ca/ipb/databook/02/chemtb02.html,Faculty Complement,SCIENCE,CHEMISTRY
42,https://www.uwo.ca/ipb/databook/02/cscitb02.html,Faculty Complement,SCIENCE,COMPUTER SCIENCE
43,https://www.uwo.ca/ipb/databook/02/escitb02.html,Faculty Complement,SCIENCE,EARTH SCIENCES
44,https://www.uwo.ca/ipb/databook/02/mathtb02.html,Faculty Complement,SCIENCE,MATHEMATICS
45,https://www.uwo.ca/ipb/databook/02/p_a_tb02.html,Faculty Complement,SCIENCE,PHYSICS and ASTRONOMY
46,https://www.uwo.ca/ipb/databook/02/sas_tb02.html,Faculty Complement,SCIENCE,STATISTICAL and ACTUARIAL SCIENCES
47,https://www.uwo.ca/ipb/databook/02/ausstb02.html,Faculty Complement,SOCIAL SCIENCE,SOCIAL SCIENCE
48,https://www.uwo.ca/ipb/databook/02/anthtb02.html,Faculty Complement,SOCIAL SCIENCE,ANTHROPOLOGY
49,https://www.uwo.ca/ipb/databook/02/econtb02.html,Faculty Complement,SOCIAL SCIENCE,ECONOMICS
50,https://www.uwo.ca/ipb/databook/02/geogtb02.html,Faculty Complement,SOCIAL SCIENCE,GEOGRAPHY and ENVIRONMENT
51,https://www.uwo.ca/ipb/databook/02/histtb02.html,Faculty Complement,SOCIAL SCIENCE,HISTORY
52,https://www.uwo.ca/ipb/databook/02/caistb02.html,Faculty Complement,SOCIAL SCIENCE,MANAGEMENT and ORGANIZATIONAL STUDIES
53,https://www.uwo.ca/ipb/databook/02/polstb02.html,Faculty Complement,SOCIAL SCIENCE,POLITICAL SCIENCE
54,https://www.uwo.ca/ipb/databook/02/psyctb02.html,Faculty Complement,SOCIAL SCIENCE,PSYCHOLOGY
55,https://www.uwo.ca/ipb/databook/02/soc_tb02.html,Faculty Complement,SOCIAL SCIENCE,SOCIOLOGY
56,https://www.uwo.ca/ipb/databook/03/auartb03.html,Staff Complement,ARTS and HUMANITIES,ARTS and HUMANITIES
57,https://www.uwo.ca/ipb/databook/03/clsttb03.html,Staff Complement,ARTS and HUMANITIES,CLASSICAL STUDIES
58,https://www.uwo.ca/ipb/databook/03/engltb03.html,Staff Complement,ARTS and HUMANITIES,ENGLISH and WRITING STUDIES
59,https://www.uwo.ca/ipb/databook/03/filmtb03.html,Staff Complement,ARTS and HUMANITIES,FILM STUDIES
60,https://www.uwo.ca/ipb/databook/03/frentb03.html,Staff Complement,ARTS and HUMANITIES,FRENCH STUDIES
61,https://www.uwo.ca/ipb/databook/03/ws__tb03.html,Staff Complement,ARTS and HUMANITIES,"GENDER, SEXUALITY, and WOMEN'S STUDIES"
62,https://www.uwo.ca/ipb/databook/03/mll_tb03.html,Staff Complement,ARTS and HUMANITIES,LANGUAGES and CULTURES
63,https://www.uwo.ca/ipb/databook/03/philtb03.html,Staff Complement,ARTS and HUMANITIES,PHILOSOPHY
64,https://www.uwo.ca/ipb/databook/03/vsartb03.html,Staff Complement,ARTS and HUMANITIES,VISUAL ARTS
65,https://www.uwo.ca/ipb/databook/03/aub_tb03.html,Staff Complement,BUSINESS,BUSINESS
66,https://www.uwo.ca/ipb/databook/03/auedtb03.html,Staff Complement,EDUCATION,EDUCATION
67,https://www.uwo.ca/ipb/databook/03/aue_tb03.html,Staff Complement,ENGINEERING,ENGINEERING
68,https://www.uwo.ca/ipb/databook/03/cheetb03.html,Staff Complement,ENGINEERING,CHEMICAL and BIOCHEMICAL ENGINEERING
69,https://www.uwo.ca/ipb/databook/03/civetb03.html,Staff Complement,ENGINEERING,CIVIL and ENVIRONMENTAL ENGINEERING
70,https://www.uwo.ca/ipb/databook/03/eleetb03.html,Staff Complement,ENGINEERING,ELECTRICAL and COMPUTER ENGINEERING
71,https://www.uwo.ca/ipb/databook/03/m_metb03.html,Staff Complement,ENGINEERING,MECHANICAL and MATERIALS ENGINEERING
72,https://www.uwo.ca/ipb/databook/03/auhstb03.html,Staff Complement,HEALTH SCIENCES,HEALTH SCIENCES
73,https://www.uwo.ca/ipb/databook/03/bhsctb03.html,Staff Complement,HEALTH SCIENCES,HEALTH STUDIES
74,https://www.uwo.ca/ipb/databook/03/cd__tb03.html,Staff Complement,HEALTH SCIENCES,COMMUNICATION SCIENCES and DISORDERS
75,https://www.uwo.ca/ipb/databook/03/kinetb03.html,Staff Complement,HEALTH SCIENCES,KINESIOLOGY
76,https://www.uwo.ca/ipb/databook/03/nurstb03.html,Staff Complement,HEALTH SCIENCES,NURSING
77,https://www.uwo.ca/ipb/databook/03/ot__tb03.html,Staff Complement,HEALTH SCIENCES,OCCUPATIONAL THERAPY
78,https://www.uwo.ca/ipb/databook/03/pt__tb03.html,Staff Complement,HEALTH SCIENCES,PHYSICAL THERAPY
79,https://www.uwo.ca/ipb/databook/03/auimtb03.html,Staff Complement,INFORMATION and MEDIA STUDIES,INFORMATION and MEDIA STUDIES
80,https://www.uwo.ca/ipb/databook/03/aul_tb03.html,Staff Complement,LAW,LAW
81,https://www.uwo.ca/ipb/databook/03/aum_tb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),MEDICINE and DENTISTRY (MEDICINE)
82,https://www.uwo.ca/ipb/databook/03/aud_tb03.html,Staff Complement,MEDICINE and DENTISTRY (DENTISTRY),MEDICINE and DENTISTRY (DENTISTRY)
83,https://www.uwo.ca/ipb/databook/03/anattb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),ANATOMY and CELL BIOLOGY
84,https://www.uwo.ca/ipb/databook/03/bioctb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),BIOCHEMISTRY
85,https://www.uwo.ca/ipb/databook/03/epidtb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),EPIDEMIOLOGY and BIOSTATISTICS
86,https://www.uwo.ca/ipb/databook/03/hms_tb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),HISTORY OF MEDICINE
87,https://www.uwo.ca/ipb/databook/03/bioptb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),MEDICAL BIOPHYSICS
88,https://www.uwo.ca/ipb/databook/03/m_i_tb03.html,Staff Complement,MEDICINE and DENTISTRY (MEDICINE),MICROBIOLOGY and IMMUNOLOGY
